QueryKey;CityCode;Directions;Cityname;NowTime;Status;Num_routes;directions
1501402 BELÉM 2020-04-11 16:01:36 EW;1501402;EW;BELÉM;2020-04-11 16:01:36;OK;1;EastWest
1501402 BELÉM 2020-04-11 16:01:40 NS;1501402;NS;BELÉM;2020-04-11 16:01:40;OK;1;NorthSouth
4314902 PORTO ALEGRE 2020-04-11 16:01:44 EW;4314902;EW;PORTO ALEGRE;2020-04-11 16:01:44;OK;1;EastWest
4314902 PORTO ALEGRE 2020-04-11 16:01:46 NS;4314902;NS;PORTO ALEGRE;2020-04-11 16:01:46;OK;1;NorthSouth
3518800 GUARULHOS 2020-04-11 16:01:48 EW;3518800;EW;GUARULHOS;2020-04-11 16:01:48;OK;1;EastWest
3518800 GUARULHOS 2020-04-11 16:01:51 NS;3518800;NS;GUARULHOS;2020-04-11 16:01:51;OK;1;NorthSouth
3509502 CAMPINAS 2020-04-11 16:01:54 EW;3509502;EW;CAMPINAS;2020-04-11 16:01:54;OK;1;EastWest
3509502 CAMPINAS 2020-04-11 16:01:56 NS;3509502;NS;CAMPINAS;2020-04-11 16:01:56;OK;1;NorthSouth
2111300 SÃO LUÍS 2020-04-11 16:01:59 EW;2111300;EW;SÃO LUÍS;2020-04-11 16:01:59;OK;1;EastWest
2111300 SÃO LUÍS 2020-04-11 16:02:02 NS;2111300;NS;SÃO LUÍS;2020-04-11 16:02:02;OK;1;NorthSouth
3304904 SÃO GONÇALO 2020-04-11 16:02:05 EW;3304904;EW;SÃO GONÇALO;2020-04-11 16:02:05;OK;1;EastWest
3304904 SÃO GONÇALO 2020-04-11 16:02:08 NS;3304904;NS;SÃO GONÇALO;2020-04-11 16:02:08;OK;1;NorthSouth
2704302 MACEIÓ 2020-04-11 16:02:10 EW;2704302;EW;MACEIÓ;2020-04-11 16:02:10;OK;1;EastWest
2704302 MACEIÓ 2020-04-11 16:02:12 NS;2704302;NS;MACEIÓ;2020-04-11 16:02:12;OK;1;NorthSouth
3301702 DUQUE DE CAXIAS 2020-04-11 16:02:14 EW;3301702;EW;DUQUE DE CAXIAS;2020-04-11 16:02:14;OK;1;EastWest
3301702 DUQUE DE CAXIAS 2020-04-11 16:02:18 NS;3301702;NS;DUQUE DE CAXIAS;2020-04-11 16:02:18;OK;1;NorthSouth
5002704 CAMPO GRANDE 2020-04-11 16:02:19 EW;5002704;EW;CAMPO GRANDE;2020-04-11 16:02:19;OK;1;EastWest
5002704 CAMPO GRANDE 2020-04-11 16:02:21 NS;5002704;NS;CAMPO GRANDE;2020-04-11 16:02:21;OK;1;NorthSouth
2408102 NATAL 2020-04-11 16:02:23 EW;2408102;EW;NATAL;2020-04-11 16:02:23;OK;1;EastWest
2408102 NATAL 2020-04-11 16:02:25 NS;2408102;NS;NATAL;2020-04-11 16:02:25;OK;1;NorthSouth
2211001 TERESINA 2020-04-11 16:02:27 EW;2211001;EW;TERESINA;2020-04-11 16:02:27;OK;1;EastWest
2211001 TERESINA 2020-04-11 16:02:28 NS;2211001;NS;TERESINA;2020-04-11 16:02:28;OK;1;NorthSouth
3548708 SÃO BERNARDO DO CAMPO 2020-04-11 16:02:31 EW;3548708;EW;SÃO BERNARDO DO CAMPO;2020-04-11 16:02:31;OK;1;EastWest
3548708 SÃO BERNARDO DO CAMPO 2020-04-11 16:02:34 NS;3548708;NS;SÃO BERNARDO DO CAMPO;2020-04-11 16:02:34;OK;1;NorthSouth
3303500 NOVA IGUAÇU 2020-04-11 16:02:38 EW;3303500;EW;NOVA IGUAÇU;2020-04-11 16:02:38;OK;1;EastWest
3303500 NOVA IGUAÇU 2020-04-11 16:02:40 NS;3303500;NS;NOVA IGUAÇU;2020-04-11 16:02:40;OK;1;NorthSouth
